"system_object_id";"StateRegistrationOfDivorce";"ID";"Year";"Month";"global_id";
"1";"3302";"1";"2010";"€нварь";"37591658";
"2";"2937";"2";"2010";"февраль";"37591659";
"3";"4361";"3";"2010";"март";"37591660";
"4";"3943";"4";"2010";"апрель";"37591661";
"5";"3554";"5";"2010";"май";"37591662";
"6";"3666";"6";"2010";"июнь";"62353812";
"7";"3675";"7";"2010";"июль";"62353813";
"8";"3496";"8";"2010";"август";"62353814";
"9";"3738";"9";"2010";"сент€брь";"62353816";
"10";"3899";"10";"2010";"окт€брь";"62353817";
"11";"3923";"11";"2010";"но€брь";"62353818";
"12";"4145";"12";"2010";"декабрь";"62353819";
"13";"3124";"13";"2011";"€нварь";"62353821";
"14";"2913";"14";"2011";"февраль";"62353822";
"15";"4474";"15";"2011";"март";"62353823";
"16";"4014";"16";"2011";"апрель";"62353824";
"17";"3831";"17";"2011";"май";"62353825";
"18";"3449";"18";"2011";"июнь";"62353826";
"19";"3523";"19";"2011";"июль";"62353827";
"20";"3589";"20";"2011";"август";"62353828";
"21";"3788";"21";"2011";"сент€брь";"62353829";
"22";"3732";"22";"2011";"окт€брь";"62353830";
"23";"3930";"23";"2011";"но€брь";"62353831";
"24";"4080";"24";"2011";"декабрь";"62353832";
"25";"2922";"25";"2012";"€нварь";"62353833";
"26";"2596";"26";"2012";"февраль";"62353835";
"27";"3658";"27";"2012";"март";"62353836";
"28";"3355";"28";"2012";"апрель";"62353837";
"29";"3728";"29";"2012";"май";"62353838";
"30";"3389";"30";"2012";"июнь";"62353839";
"31";"3660";"31";"2012";"июль";"62353840";
"32";"3816";"32";"2012";"август";"62353841";
"33";"3592";"33";"2012";"сент€брь";"62353842";
"34";"3720";"34";"2012";"окт€брь";"62353843";
"35";"3660";"35";"2012";"но€брь";"62353844";
"36";"3832";"36";"2012";"декабрь";"62353845";
"37";"3596";"37";"2013";"€нварь";"62353846";
"38";"2988";"38";"2013";"февраль";"62353847";
"39";"3889";"39";"2013";"март";"62353849";
"40";"3896";"40";"2013";"апрель";"62353850";
"41";"3822";"41";"2013";"май";"62353851";
"42";"3404";"42";"2013";"июнь";"62353852";
"43";"3958";"43";"2013";"июль";"62353853";
"44";"3776";"44";"2013";"август";"62353854";
"45";"3525";"45";"2013";"сент€брь";"62353855";
"46";"4377";"46";"2013";"окт€брь";"62353856";
"47";"4201";"47";"2013";"но€брь";"62353857";
"48";"4250";"48";"2013";"декабрь";"62353858";
"49";"3931";"49";"2014";"€нварь";"62353859";
"50";"3368";"50";"2014";"февраль";"62353860";
"51";"3986";"51";"2014";"март";"62353861";
"52";"4134";"52";"2014";"апрель";"62353862";
"53";"3772";"53";"2014";"май";"62353863";
"54";"3134";"54";"2014";"июнь";"62353864";
"55";"4097";"55";"2014";"июль";"62353865";
"56";"3594";"56";"2014";"август";"62353866";
"57";"3671";"57";"2014";"сент€брь";"62353867";
"58";"3840";"58";"2014";"окт€брь";"62353868";
"59";"3573";"59";"2014";"но€брь";"62353869";
"60";"4278";"60";"2014";"декабрь";"62353870";
"61";"3344";"61";"2015";"€нварь";"62353871";
"62";"2860";"62";"2015";"февраль";"62353872";
"63";"3881";"63";"2015";"март";"62353873";
"64";"3928";"64";"2015";"апрель";"62353874";
"65";"3324";"65";"2015";"май";"62353875";
"66";"3454";"66";"2015";"июнь";"62353876";
"67";"3876";"67";"2015";"июль";"62353878";
"68";"3341";"68";"2015";"август";"62353879";
"69";"3800";"69";"2015";"сент€брь";"62353881";
"70";"3946";"70";"2015";"окт€брь";"62353882";
"71";"3457";"71";"2015";"но€брь";"62353883";
"";"4349";"72";"2015";"декабрь";"63950240";
"";"3133";"73";"2016";"€нварь";"64512643";
"";"2967";"74";"2016";"февраль";"140182280";
"";"4037";"75";"2016";"март";"168329079";
"";"3854";"76";"2016";"апрель";"169688808";
"";"3609";"77";"2016";"май";"170907809";
"";"3459";"78";"2016";"июнь";"171626637";
"";"3560";"79";"2016";"июль";"272397822";
"";"3781";"80";"2016";"август";"273024737";
