"system_object_id";"Calls";"ID";"MonthReport";"global_id";
"1";"4689";"1";"Январь 2015";"37153042";
"2";"2535";"2";"Февраль 2015";"37153043";
"3";"6092";"3";"Март 2015";"37153044";
"4";"7671";"4";"Апрель 2015";"37153045";
"5";"3568";"5";"Май 2015";"37153046";
"6";"4351";"6";"Июнь 2015";"37153047";
"7";"4403";"7";"Июль 2015";"37153048";
"8";"4569";"8";"Август 2015";"37153049";
"9";"4674";"9";"Сентябрь 2015";"37153050";
"10";"4972";"10";"Октябрь 2015";"38384001";
"11";"4536";"11";"Ноябрь 2015";"59500307";
"12";"4313";"12";"Декабрь 2015";"62435335";
"13";"5043";"13";"Январь 2016";"64186300";
"14";"4218";"14";"Февраль 2016";"64364590";
"";"4708";"15";"Март 2016";"167615353";
"";"5884";"16";"Апрель 2016";"169327291";
"";"5478";"17";"Май 2016";"170689011";
"";"4630";"18";"Июнь 2016";"171572050";
"";"4601";"19";"Июль 2016";"171729185";
