ROWNUM;FullName;ShortName;LegalAddress;ExamDate;SubjectName;PassedQuantity;AVGScore;global_id;
1;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2123 имени Мигеля Эрнандеса»";"ГБОУ школа № 2123 им. М. Эрнандеса";"121069, г. Москва, Столовый пер., д.10/2, стр.1";"29.05.2015";"Химия";"7";"3.86";"62819599";
2;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 953»";"ГБОУ школа № 953";"127349, г. Москва, Шенкурский проезд, дом 15";"29.05.2015";"Химия";"19";"4.11";"62819600";
3;"Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1290»";"ГБОУ гимназия № 1290";"105043, г. Москва, ул. Первомайская, д.59, строение 1";"07.09.2015";"Математика";"2";"2";"62819602";
4;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением английского языка № 1381»";"ГБОУ школа № 1381";"129346, г. Москва, Янтарный пр., д.2";"03.06.2015";"Русский язык";"166";"3.89";"62819603";
5;"Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1274 имени В.В.Маяковского»";"ГБОУ гимназия № 1274";"115088, г. Москва, ул. 1-я Дубровская, д. 16";"16.06.2015";"Русский язык";"1";"3";"62819604";
6;"Государственное бюджетное общеобразовательное учреждение города Москвы «Многопрофильный лицей № 1501»";"ГБОУ лицей № 1501";"127055, г. Москва, Тихвинский пер., д.3";"29.05.2015";"Химия";"83";"4.33";"62819606";
7;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 117»";"ГБОУ школа № 117";"117393, г. Москва, ул. Академика Пилюгина, дом 18, корпус 1";"05.06.2015";"География";"2";"4";"62819607";
8;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением английского языка № 1200»";"ГБОУ школа № 1200";"111673, г. Москва, Суздальская ул, 24 Б";"29.05.2015";"Химия";"7";"4.86";"62819608";
9;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1852";"ГБОУ СОШ № 1852";"111401, г. Москва, ул. 2-я Владимирская, дом 22 А";"27.05.2015";"Математика";"67";"3.99";"62819609";
10;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением экологии № 390 имени генерала П.И. Батова»";"ГБОУ школа № 390 имени генерала П.И. Батова";"107258, г. Москва, б-р Рокоссовского маршала, д. 34/2";"29.05.2015";"Информатика";"3";"4.67";"62819610";
11;"Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1797 «Богородская»";"ГБОУ гимназия № 1797 «Богородская»";"107258, г. Москва, ул. 3-я Гражданская, д.64";"18.06.2015";"Математика";"5";"3";"62819612";
12;"Государственное бюджетное общеобразовательное учреждение города Москвы школа с углубленным изучением отдельных предметов № 982 имени маршала бронетанковых войск П.П. Полубоярова";"ГБОУ школа № 982";"115304, г. Москва, ул.Кошкина, д.13, корп.2";"05.06.2015";"Иностранный язык (английский язык)";"4";"4.25";"62819613";
13;"Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1748 «Вертикаль»";"ГБОУ гимназия № 1748 «Вертикаль»";"105484, г. Москва, Сиреневый бульвар, д. 73, корп. 3";"17.06.2015";"История";"1";"4";"62819616";
14;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением иностранных языков № 1205»";"ГБОУ школа № 1205";"117335, г. Москва, улица Архитектора Власова, дом 19а";"17.06.2015";"История";"1";"4";"62819617";
15;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1770»";"ГБОУ школа № 1770";"115142, г. Москва, Коломенская наб., д.20";"17.06.2015";"Физика";"1";"4";"62819619";
